dimensions,time(s)
1,0.097902
51,0.101753
101,0.127548
151,0.196219
201,0.278616
251,0.356908
301,0.473746
351,0.610002
401,0.856318
451,0.961011
501,1.204203
551,1.498026
601,1.761756
651,1.876885
701,2.574958
751,2.659206
801,2.828559
851,3.001897
901,3.703831
